Projects with links
type	projects
AST	256
BYTE	711



Duplicate projects
type	count(*)
ALL	157



Links
project	type	link	amount
0hwan__lancoder	AST	No link	25
0hwan__lancoder	BYTE	No link	25
0hwan__lancoder	AST	Link	2
0hwan__lancoder	BYTE	Link	2
1339532__Raheem	AST	No link	249
1339532__Raheem	BYTE	No link	221
1339532__Raheem	AST	Link	35
1339532__Raheem	BYTE	Link	61
18211018357__201712_nif	AST	No link	3520
18211018357__201712_nif	AST	Link	399
18814127356__ActiveMQ-5.9.1	AST	No link	18
18814127356__ActiveMQ-5.9.1	BYTE	No link	1
18814127356__ActiveMQ-5.9.1	AST	Link	8
1navinkumar__motech	AST	No link	61
1navinkumar__motech	BYTE	No link	58
1navinkumar__motech	AST	Link	3
1navinkumar__motech	BYTE	Link	6
2my__archetype	AST	No link	1
2my__archetype	BYTE	No link	1
2my__archetype	AST	Link	1
2my__archetype	BYTE	Link	1
3scale__3scale_ws_api_for_java	AST	No link	20
3scale__3scale_ws_api_for_java	BYTE	No link	5
3scale__3scale_ws_api_for_java	AST	Link	8
3scale__3scale_ws_api_for_java	BYTE	Link	23
573196010__powermock	AST	No link	800
573196010__powermock	BYTE	No link	816
573196010__powermock	AST	Link	55
573196010__powermock	BYTE	Link	81
6orovic__vertx-examples	AST	No link	6
a1504__GAE_END_POINT_BASIC_CONFIG	AST	No link	1
a1504__GAE_END_POINT_BASIC_CONFIG	BYTE	No link	1
aarroyoc__google-sites-liberation	AST	No link	43
aarroyoc__google-sites-liberation	BYTE	No link	7
aarroyoc__google-sites-liberation	AST	Link	5
aarroyoc__google-sites-liberation	BYTE	Link	2
aaryani__neo4j-custom-u	AST	No link	1498
aaryani__neo4j-custom-u	BYTE	No link	1264
aaryani__neo4j-custom-u	AST	Link	165
aaryani__neo4j-custom-u	BYTE	Link	297
aawm__cloudstack-1	AST	No link	13
aawm__cloudstack-1	AST	Link	9
abedra__dmm	AST	No link	19
abedra__dmm	BYTE	No link	4
abedra__dmm	BYTE	Link	15
Abhashakya__yes-car	AST	No link	776
Abhashakya__yes-car	BYTE	No link	661
Abhashakya__yes-car	AST	Link	285
Abhashakya__yes-car	BYTE	Link	195
abhijeetkunwar__yes-car	AST	No link	6
abhijeetkunwar__yes-car	AST	Link	22
abhishekdixit98__cipango	AST	No link	81
abhishekdixit98__cipango	BYTE	No link	2
abhishekdixit98__cipango	AST	Link	6
abject-poverty__ExtraHardMode	AST	No link	25
abject-poverty__ExtraHardMode	BYTE	No link	13
abject-poverty__ExtraHardMode	AST	Link	6
abject-poverty__ExtraHardMode	BYTE	Link	18
abyot__sun-inventory	AST	No link	12
abyot__sun-inventory	BYTE	No link	6
abyot__sun-inventory	AST	Link	32
abyot__sun-inventory	BYTE	Link	38
acmerocket__fireside	AST	No link	351
acmerocket__fireside	BYTE	No link	309
acmerocket__fireside	AST	Link	78
acmerocket__fireside	BYTE	Link	120
adamlofts__awf	AST	No link	64
adamlofts__awf	BYTE	No link	60
adamlofts__awf	AST	Link	13
adamlofts__awf	BYTE	Link	17
aditzel__reference-java-spa-webapp	AST	No link	4
aditzel__reference-java-spa-webapp	BYTE	No link	3
aditzel__reference-java-spa-webapp	AST	Link	1
aditzel__reference-java-spa-webapp	BYTE	Link	2
Adobe-Consulting-Services__acs-aem-commons	AST	No link	298
Adobe-Consulting-Services__acs-aem-commons	AST	Link	232
adorjanszeles__PathFinder	AST	No link	14
adorjanszeles__PathFinder	BYTE	No link	14
adorjanszeles__PathFinder	AST	Link	33
adorjanszeles__PathFinder	BYTE	Link	33
adriensaladin__secor	AST	No link	64
adriensaladin__secor	AST	Link	6
adrsant__orcamento-seguro	AST	No link	4
adrsant__orcamento-seguro	BYTE	No link	4
aelaibi__ads.bo	AST	No link	46
aelaibi__ads.bo	BYTE	No link	46
aelaibi__ads.bo	AST	Link	85
aelaibi__ads.bo	BYTE	Link	85
aeshell__aesh	AST	No link	111
aeshell__aesh	BYTE	No link	106
aeshell__aesh	AST	Link	41
aeshell__aesh	BYTE	Link	46
afredlyj__learn-netty	AST	No link	897
afredlyj__learn-netty	BYTE	No link	257
afredlyj__learn-netty	AST	Link	63
afredlyj__learn-netty	BYTE	Link	33
agilej__sparkle-core	AST	No link	76
agilej__sparkle-core	BYTE	No link	76
agilej__sparkle-core	AST	Link	29
agilej__sparkle-core	BYTE	Link	29
aiyan2001__learn	AST	No link	282
aiyan2001__learn	BYTE	No link	47
aiyan2001__learn	AST	Link	26
aiyan2001__learn	BYTE	Link	3
ajit-java__learn-spring-boot-projec	AST	No link	12
ajit-java__learn-spring-boot-projec	BYTE	No link	12
ajit-java__learn-spring-boot-projec	AST	Link	11
ajit-java__learn-spring-boot-projec	BYTE	Link	11
akaredsc2__car-rental	AST	No link	58
akaredsc2__car-rental	AST	Link	22
akash-vasonomics__tes	AST	No link	16
akash-vasonomics__tes	BYTE	No link	14
akash-vasonomics__tes	AST	Link	5
akash-vasonomics__tes	BYTE	Link	5
akbence__flinkcep	AST	No link	2154
akbence__flinkcep	BYTE	No link	163
akbence__flinkcep	AST	Link	434
akbence__flinkcep	BYTE	Link	10
akbence__leapFlink	AST	No link	108
akbence__leapFlink	BYTE	No link	99
akbence__leapFlink	AST	Link	47
akbence__leapFlink	BYTE	Link	17
akormushin__fizteh-java-2015	AST	No link	89
akormushin__fizteh-java-2015	AST	Link	23
akshaygit__Devops-Tes	AST	No link	37
akshaygit__Devops-Tes	BYTE	No link	37
akshaygit__Devops-Tes	AST	Link	5
akshaygit__Devops-Tes	BYTE	Link	5
aldamacus__management-paren	AST	No link	1
aldamacus__management-paren	BYTE	No link	1
aldamacus__management-paren	AST	Link	1
aldamacus__management-paren	BYTE	Link	1
alejandropg__testing-apple	AST	No link	3
alejandropg__testing-apple	BYTE	No link	2
alejandropg__testing-apple	BYTE	Link	1
aleksey-timofeev__disk-archive	AST	No link	49
aleksey-timofeev__disk-archive	BYTE	No link	47
aleksey-timofeev__disk-archive	AST	Link	5
aleksey-timofeev__disk-archive	BYTE	Link	7
alepar__netty-rpc	AST	Link	1
alepar__netty-rpc	BYTE	Link	1
Alex-X-W-PoS__openmrs-module-openhmis.inventory	AST	No link	236
Alex-X-W-PoS__openmrs-module-openhmis.inventory	AST	Link	14
AlexanderBogomolnyy__Library	AST	No link	9
AlexanderBogomolnyy__Library	BYTE	No link	9
alexeev__jboss-fuse-mirror	AST	No link	132
alexeev__jboss-fuse-mirror	BYTE	No link	95
alexeev__jboss-fuse-mirror	AST	Link	17
alexeev__jboss-fuse-mirror	BYTE	Link	28
AlexeyZhulyov__nc_edu_web-container	AST	No link	85
AlexeyZhulyov__nc_edu_web-container	BYTE	No link	69
AlexeyZhulyov__nc_edu_web-container	AST	Link	7
AlexeyZhulyov__nc_edu_web-container	BYTE	Link	23
alibaba__jetcache	AST	No link	72
alibaba__jetcache	BYTE	No link	70
alibaba__jetcache	BYTE	Link	2
alibaba__jstorm	AST	No link	36
alibaba__jstorm	BYTE	No link	38
alibaba__jstorm	AST	Link	4
alibaba__jstorm	BYTE	Link	8
Alluxio__alluxio	AST	No link	217
Alluxio__alluxio	BYTE	No link	75
Alluxio__alluxio	AST	Link	141
Alluxio__alluxio	BYTE	Link	44
AlphaGoCome__newjstorm	AST	No link	12
AlphaGoCome__newjstorm	BYTE	No link	6
AlphaGoCome__newjstorm	AST	Link	2
AlphaGoCome__newjstorm	BYTE	Link	2
altamiracorp__honeycomb	AST	No link	91
altamiracorp__honeycomb	BYTE	No link	79
altamiracorp__honeycomb	AST	Link	123
altamiracorp__honeycomb	BYTE	Link	135
AlternaCraft__ACLIB	AST	No link	6
AlternaCraft__ACLIB	AST	Link	6
AlternaCraft__ACLIB	BYTE	Link	12
amikey__stopword	AST	No link	11
amikey__stopword	AST	Link	2
amir1422__powermock	AST	No link	45
amir1422__powermock	BYTE	No link	3
amir1422__powermock	BYTE	Link	19
amrutawandakar__Activ	AST	No link	74
amrutawandakar__Activ	BYTE	No link	74
amruthsoft9__Jenkis	AST	No link	26
amruthsoft9__Jenkis	BYTE	No link	42
AnchorFree__zeppelin	AST	No link	20
AnchorFree__zeppelin	BYTE	No link	1
AnchorFree__zeppelin	AST	Link	7
andreasasprou__web-crawler	AST	No link	4
andreasasprou__web-crawler	BYTE	No link	4
andreasasprou__web-crawler	AST	Link	5
andreasasprou__web-crawler	BYTE	Link	5
andreaskring__bitmagasinet-gu	AST	No link	112
andreaskring__bitmagasinet-gu	BYTE	No link	112
andrewaylett__atun	AST	No link	4
andrewaylett__atun	BYTE	No link	2
andrewaylett__atun	AST	Link	4
andrewaylett__atun	BYTE	Link	6
AndrewERAU__Calendar	AST	No link	4
AndrewERAU__Calendar	BYTE	No link	4
AndriiMandybura__test_task	AST	No link	1
Andrlis__Review-Assistan	AST	No link	1
Andrlis__Review-Assistan	BYTE	No link	1
andyglick__hk2-fork	AST	No link	752
andyglick__hk2-fork	BYTE	No link	20
andyglick__hk2-fork	AST	Link	53
andyglick__hk2-fork	BYTE	Link	5
andyvand__OpenMRS	AST	No link	1773
andyvand__OpenMRS	BYTE	No link	1
andyvand__OpenMRS	AST	Link	1091
angelcastro2__PracticaVVS	AST	No link	28
angelcastro2__PracticaVVS	BYTE	No link	13
angelcastro2__PracticaVVS	AST	Link	4
angelcastro2__PracticaVVS	BYTE	Link	19
angonzalez__spring-hibernate-mvc	AST	No link	1
angonzalez__spring-hibernate-mvc	BYTE	Link	1
ANierbeck__CustomKaraf	AST	No link	173
ANierbeck__CustomKaraf	BYTE	No link	166
ANierbeck__CustomKaraf	AST	Link	53
ANierbeck__CustomKaraf	BYTE	Link	60
anjalshireesh__gluster-ovirt-poc	AST	No link	10
anjalshireesh__gluster-ovirt-poc	BYTE	No link	7
anjalshireesh__gluster-ovirt-poc	AST	Link	2
ankurhmali__jenkins	AST	No link	246
ankurhmali__jenkins	BYTE	No link	43
ankurhmali__jenkins	AST	Link	52
Anthchirp__activemq	AST	No link	67
Anthchirp__activemq	BYTE	No link	8
Anthchirp__activemq	AST	Link	13
Anthony25-UTBM__lp74_atoms	AST	Link	1
Anthony25-UTBM__lp74_atoms	BYTE	Link	1
antlr4ide__antlr4ide	AST	No link	2
antlr4ide__antlr4ide	BYTE	No link	2
antoniomart__DCM4CHEE	AST	No link	203
antoniomart__DCM4CHEE	BYTE	No link	189
antoniomart__DCM4CHEE	AST	Link	76
antoniomart__DCM4CHEE	BYTE	Link	90
anuradhk__REPO	AST	No link	97
anuradhk__REPO	AST	Link	10
