Mon May 07 12:31:58 UTC 2018: Starting
Mon May 07 12:31:58 UTC 2018: Database:jdbc:mysql://localhost:3306/unittests_all
Mon May 07 12:32:05 UTC 2018: Queue filled without report
Mon May 07 12:32:05 UTC 2018: Working on xiezequn__sharding-jdbc-tes

Mon May 07 12:32:05 UTC 2018: Reading project report
Mon May 07 12:32:20 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//xiezequn__sharding-jdbc-tes/ - com.dangdang.ddframe.rdb.sharding.config.yaml - YamlShardingDataSourceTest
Mon May 07 12:32:55 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//xiezequn__sharding-jdbc-tes/ - com.dangdang.ddframe.rdb.sharding.api.rule - DataNodeTest
Mon May 07 12:32:56 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//xiezequn__sharding-jdbc-tes/ - com.dangdang.ddframe.rdb.sharding.api.rule - TableRuleTest
Mon May 07 12:33:01 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//xiezequn__sharding-jdbc-tes/ - com.dangdang.ddframe.rdb.sharding.jdbc.adapter - PreparedStatementAdapterTest
Mon May 07 12:33:03 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//xiezequn__sharding-jdbc-tes/ - com.dangdang.ddframe.rdb.sharding.jdbc.adapter - StatementAdapterTest
Mon May 07 12:33:03 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//xiezequn__sharding-jdbc-tes/ - com.dangdang.ddframe.rdb.sharding.jdbc - GeneratedKeysResultSetTest
Mon May 07 12:33:17 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//xiezequn__sharding-jdbc-tes/ - com.dangdang.ddframe.rdb.sharding.executor - StatementExecutorTest
Mon May 07 12:33:20 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//xiezequn__sharding-jdbc-tes/ - com.dangdang.ddframe.rdb.sharding.merger.resultset.memory.row - ResultSetRowTest
Mon May 07 12:33:26 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//xiezequn__sharding-jdbc-tes/ - com.dangdang.ddframe.rdb.sharding.merger.pipeline.coupling - AggregationResultSetTest
Mon May 07 12:33:26 UTC 2018: Reading project report done
Mon May 07 12:33:26 UTC 2018: Adding test in queue
Mon May 07 12:33:26 UTC 2018: Adding test in queue
Mon May 07 12:33:26 UTC 2018: Adding test in queue
Mon May 07 12:33:26 UTC 2018: Adding test in queue
Mon May 07 12:33:26 UTC 2018: Adding test in queue
Mon May 07 12:33:26 UTC 2018: Adding test in queue
Mon May 07 12:33:26 UTC 2018: Adding test in queue
Mon May 07 12:33:26 UTC 2018: Adding test in queue
Mon May 07 12:33:26 UTC 2018: Adding test in queue
Mon May 07 12:33:26 UTC 2018: Adding test in queue
Mon May 07 12:33:26 UTC 2018: Adding test in queue
Mon May 07 12:33:26 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
Mon May 07 12:33:27 UTC 2018: Adding test in queue
